Image name,Risk of macular edema
IMAGE_01418.png,0
IMAGE_01285.png,0
IMAGE_02211.jpg,0
IMAGE_00525.png,0
IMAGE_01239.png,0
IMAGE_00196.jpg,1
IMAGE_00266.jpg,0
IMAGE_01573.jpg,0
IMAGE_02162.jpg,0
IMAGE_00274.jpg,0
IMAGE_02201.jpg,0
IMAGE_00974.png,0
IMAGE_01221.png,0
IMAGE_01839.jpg,0
IMAGE_00053.jpg,1
IMAGE_02068.jpg,0
IMAGE_00789.png,0
IMAGE_00338.jpg,1
IMAGE_00696.png,0
IMAGE_00359.jpg,0
IMAGE_00634.png,0
IMAGE_01626.jpg,0
IMAGE_01570.jpg,0
IMAGE_01826.jpg,0
IMAGE_01956.jpg,0
IMAGE_00794.png,0
IMAGE_00718.png,0
IMAGE_00010.jpg,1
IMAGE_00413.jpg,0
IMAGE_00332.jpg,0
IMAGE_00547.png,0
IMAGE_00705.png,0
IMAGE_02137.jpg,0
IMAGE_00743.png,0
IMAGE_01503.png,0
IMAGE_01779.jpg,0
IMAGE_01697.jpg,0
IMAGE_01159.png,0
IMAGE_00249.jpg,0
IMAGE_01134.png,0
IMAGE_00597.png,0
IMAGE_00668.png,0
IMAGE_00610.png,0
IMAGE_00901.png,0
IMAGE_02003.jpg,0
IMAGE_01458.png,0
IMAGE_00395.jpg,1
IMAGE_01611.jpg,0
IMAGE_01432.png,0
IMAGE_00447.jpg,1
IMAGE_00943.png,0
IMAGE_01544.png,0
IMAGE_01084.png,0
IMAGE_00932.png,0
IMAGE_00193.jpg,1
IMAGE_00143.jpg,1
IMAGE_02247.jpg,0
IMAGE_01857.jpg,0
IMAGE_00177.jpg,1
IMAGE_00726.png,0
IMAGE_01373.png,0
IMAGE_01171.png,0
IMAGE_00533.png,1
IMAGE_00933.png,0
IMAGE_01382.png,0
IMAGE_00513.png,0
IMAGE_01871.jpg,0
IMAGE_02020.jpg,0
IMAGE_00150.jpg,1
IMAGE_01823.jpg,0
IMAGE_01866.jpg,0
IMAGE_00892.png,0
IMAGE_00118.jpg,1
IMAGE_00734.png,0
IMAGE_00373.jpg,1
IMAGE_00830.png,0
IMAGE_00320.jpg,0
IMAGE_00994.png,0
IMAGE_01671.jpg,0
IMAGE_01298.png,1
IMAGE_00200.jpg,1
IMAGE_01173.png,0
IMAGE_01963.jpg,0
IMAGE_01975.jpg,0
IMAGE_02002.jpg,0
IMAGE_00688.png,0
IMAGE_01686.jpg,0
IMAGE_01851.jpg,0
IMAGE_00494.jpg,0
IMAGE_02188.jpg,0
IMAGE_00652.png,0
IMAGE_00318.jpg,1
IMAGE_01304.png,0
IMAGE_01111.png,0
IMAGE_00089.jpg,0
IMAGE_00824.png,0
IMAGE_01595.jpg,0
IMAGE_01926.jpg,0
IMAGE_01076.png,0
IMAGE_00522.png,0
IMAGE_00677.png,0
IMAGE_01892.jpg,0
IMAGE_01799.jpg,0
IMAGE_01132.png,0
IMAGE_01302.png,0
IMAGE_02123.jpg,0
IMAGE_01665.jpg,0
IMAGE_02249.jpg,0
IMAGE_00905.png,0
IMAGE_00898.png,1
IMAGE_00587.png,1
IMAGE_01990.jpg,0
IMAGE_01422.png,0
IMAGE_01103.png,0
IMAGE_00389.jpg,0
IMAGE_00093.jpg,0
IMAGE_00186.jpg,1
IMAGE_00260.jpg,0
IMAGE_01193.png,0
IMAGE_02071.jpg,0
IMAGE_00131.jpg,1
IMAGE_01150.png,0
IMAGE_02208.jpg,0
IMAGE_01284.png,0
IMAGE_00946.png,0
IMAGE_00276.jpg,0
IMAGE_01601.jpg,0
IMAGE_00783.png,0
IMAGE_00571.png,0
IMAGE_00619.png,1
IMAGE_00486.jpg,0
IMAGE_02244.jpg,0
IMAGE_01722.jpg,0
IMAGE_00814.png,0
IMAGE_00431.jpg,0
IMAGE_00957.png,1
IMAGE_01640.jpg,0
IMAGE_01465.png,0
IMAGE_00499.jpg,0
IMAGE_01717.jpg,0
IMAGE_00252.jpg,0
IMAGE_01407.png,0
IMAGE_01756.jpg,0
IMAGE_00893.png,0
IMAGE_00569.png,1
IMAGE_00810.png,0
IMAGE_00714.png,0
IMAGE_01094.png,0
IMAGE_01138.png,0
IMAGE_00881.png,0
IMAGE_00645.png,0
IMAGE_01698.jpg,0
IMAGE_00607.png,0
IMAGE_01642.jpg,0
IMAGE_01095.png,0
IMAGE_00712.png,0
IMAGE_01203.png,0
IMAGE_00549.png,0
IMAGE_00037.jpg,0
IMAGE_02082.jpg,0
IMAGE_01151.png,1
IMAGE_00745.png,0
IMAGE_01282.png,0
IMAGE_00346.jpg,0
IMAGE_01227.png,0
IMAGE_01411.png,0
IMAGE_01201.png,0
IMAGE_01371.png,0
IMAGE_01516.png,0
IMAGE_02125.jpg,0
IMAGE_02185.jpg,0
IMAGE_00991.png,0
IMAGE_01479.png,0
IMAGE_00678.png,0
IMAGE_00013.jpg,1
IMAGE_01385.png,0
IMAGE_02006.jpg,0
IMAGE_01395.png,1
IMAGE_00682.png,0
IMAGE_01633.jpg,0
IMAGE_01514.png,0
IMAGE_00984.png,0
IMAGE_01073.png,0
IMAGE_00805.png,0
IMAGE_00568.png,0
IMAGE_00703.png,0
IMAGE_01037.png,0
IMAGE_00262.jpg,0
IMAGE_00355.jpg,1
IMAGE_01442.png,0
IMAGE_02114.jpg,0
IMAGE_01645.jpg,0
IMAGE_01591.jpg,0
IMAGE_02142.jpg,0
IMAGE_01614.jpg,0
IMAGE_00582.png,0
IMAGE_02103.jpg,0
IMAGE_00404.jpg,1
IMAGE_01981.jpg,0
IMAGE_01008.png,0
IMAGE_01660.jpg,0
IMAGE_01605.jpg,0
IMAGE_01096.png,0
IMAGE_01156.png,0
IMAGE_00802.png,0
IMAGE_01538.png,0
IMAGE_00604.png,0
IMAGE_00223.jpg,1
IMAGE_01237.png,0
IMAGE_00182.jpg,1
IMAGE_01853.jpg,0
IMAGE_00887.png,0
IMAGE_00306.jpg,0
IMAGE_00614.png,0
IMAGE_00057.jpg,1
IMAGE_02083.jpg,0
IMAGE_00564.png,0
IMAGE_01904.jpg,0
IMAGE_01876.jpg,0
IMAGE_00685.png,0
IMAGE_00679.png,0
IMAGE_02252.jpg,0
IMAGE_01666.jpg,0
IMAGE_01495.png,0
IMAGE_01130.png,1
IMAGE_00028.jpg,1
IMAGE_01878.jpg,0
IMAGE_02207.jpg,0
IMAGE_00462.jpg,1
IMAGE_00813.png,0
IMAGE_00870.png,0
IMAGE_01410.png,0
IMAGE_00148.jpg,0
IMAGE_00145.jpg,0
IMAGE_00302.jpg,0
IMAGE_00179.jpg,1
IMAGE_00292.jpg,0
IMAGE_01197.png,0
IMAGE_01879.jpg,0
IMAGE_00272.jpg,0
IMAGE_00992.png,0
IMAGE_02043.jpg,0
IMAGE_00958.png,1
IMAGE_00416.jpg,0
IMAGE_00128.jpg,1
IMAGE_01551.png,1
IMAGE_00751.png,0
IMAGE_00753.png,0
IMAGE_01776.jpg,0
IMAGE_01211.png,0
IMAGE_01598.jpg,0
IMAGE_01736.jpg,0
IMAGE_00715.png,0
IMAGE_01568.jpg,0
IMAGE_00781.png,0
IMAGE_01545.png,0
IMAGE_00878.png,0
IMAGE_02061.jpg,0
IMAGE_00847.png,0
IMAGE_00951.png,0
IMAGE_02206.jpg,0
IMAGE_00975.png,0
IMAGE_00588.png,1
IMAGE_01855.jpg,0
IMAGE_00109.jpg,0
IMAGE_00463.jpg,1
IMAGE_01800.jpg,0
IMAGE_00509.jpg,0
IMAGE_02098.jpg,0
IMAGE_02170.jpg,0
IMAGE_00419.jpg,0
IMAGE_00281.jpg,0
IMAGE_01720.jpg,0
IMAGE_01347.png,0
IMAGE_00111.jpg,1
IMAGE_01300.png,0
IMAGE_00392.jpg,0
IMAGE_01115.png,0
IMAGE_00278.jpg,0
IMAGE_01635.jpg,0
IMAGE_00556.png,1
IMAGE_01166.png,0
IMAGE_01936.jpg,0
IMAGE_00034.jpg,1
IMAGE_00227.jpg,1
IMAGE_01196.png,0
IMAGE_00722.png,0
IMAGE_01692.jpg,0
IMAGE_01693.jpg,0
IMAGE_01905.jpg,0
IMAGE_01438.png,1
IMAGE_01912.jpg,0
IMAGE_00255.jpg,0
IMAGE_01325.png,0
IMAGE_00641.png,0
IMAGE_00482.jpg,1
IMAGE_01992.jpg,0
IMAGE_01424.png,0
IMAGE_01655.jpg,0
IMAGE_02245.jpg,0
IMAGE_01015.png,0
IMAGE_01309.png,0
IMAGE_01919.jpg,0
IMAGE_01617.jpg,0
IMAGE_00770.png,0
IMAGE_00861.png,0
IMAGE_01523.png,0
IMAGE_00799.png,0
IMAGE_00344.jpg,1
IMAGE_01120.png,0
IMAGE_01490.png,0
IMAGE_01117.png,0
IMAGE_01271.png,0
IMAGE_01013.png,0
IMAGE_00615.png,0
IMAGE_00563.png,0
IMAGE_00449.jpg,1
IMAGE_00647.png,0
IMAGE_01161.png,0
IMAGE_00175.jpg,1
IMAGE_00600.png,1
IMAGE_01646.jpg,0
IMAGE_00271.jpg,0
IMAGE_00479.jpg,0
IMAGE_01352.png,0
IMAGE_01621.jpg,0
IMAGE_01032.png,1
IMAGE_01295.png,0
IMAGE_00623.png,1
IMAGE_00191.jpg,1
IMAGE_01487.png,0
IMAGE_01840.jpg,0
IMAGE_02202.jpg,0
IMAGE_00620.png,1
IMAGE_00043.jpg,0
IMAGE_01735.jpg,0
IMAGE_02147.jpg,0
IMAGE_00807.png,1
IMAGE_01522.png,0
IMAGE_01651.jpg,0
IMAGE_02014.jpg,0
IMAGE_01674.jpg,0
IMAGE_01255.png,0
IMAGE_00637.png,0
IMAGE_00290.jpg,1
IMAGE_02010.jpg,0
IMAGE_00796.png,0
IMAGE_01760.jpg,0
IMAGE_00757.png,0
IMAGE_00050.jpg,0
IMAGE_00154.jpg,1
IMAGE_01157.png,0
IMAGE_01699.jpg,0
IMAGE_00671.png,0
IMAGE_00139.jpg,1
IMAGE_02175.jpg,0
IMAGE_00178.jpg,1
IMAGE_01744.jpg,0
IMAGE_00882.png,0
IMAGE_00339.jpg,1
IMAGE_01383.png,0
IMAGE_00268.jpg,0
IMAGE_00926.png,0
IMAGE_00042.jpg,1
IMAGE_01057.png,0
IMAGE_00361.jpg,0
IMAGE_01269.png,1
IMAGE_00818.png,0
IMAGE_00129.jpg,1
IMAGE_01628.jpg,0
IMAGE_00375.jpg,0
IMAGE_00330.jpg,0
IMAGE_01951.jpg,1
IMAGE_00110.jpg,1
IMAGE_01044.png,0
IMAGE_00026.jpg,1
IMAGE_00254.jpg,0
IMAGE_01606.jpg,0
IMAGE_02221.jpg,0
IMAGE_01042.png,0
IMAGE_02047.jpg,0
IMAGE_00059.jpg,1
IMAGE_01031.png,1
IMAGE_02000.jpg,0
IMAGE_00016.jpg,1
IMAGE_00837.png,0
IMAGE_01261.png,0
IMAGE_00244.jpg,0
IMAGE_00594.png,0
IMAGE_02243.jpg,0
IMAGE_00469.jpg,0
IMAGE_02210.jpg,0
IMAGE_01258.png,0
